AD_ID,AD_CLICKS,AD_CREATION_DATE,AD_END_DATE,AD_IMPRESSIONS,AD_LANDING_PAGE,AD_PATH,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_CUSTOM_AUDIENCE,AD_TARGETING_EXCLUDE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_EXCLUDE_LOCATION,AD_TARGETING_FRIENDS_OF_CONNECTIONS,AD_TARGETING_GENDER,AD_TARGETING_INTERESTS,AD_TARGETING_LANGUAGE,AD_TARGETING_LOCATION,AD_TARGETING_LOCATION_LIVING_IN,AD_TARGETING_LOCATION_RECENTLY_IN,AD_TARGETING_PEOPLE_WHO_MATCH,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
639,464,2015-07-16 01:46:23,2015-07-17 01:46:23,3274,https://www.facebook.com/lgbt-united-839497472793277/,2015-q3/2015-07/P(1)0000160.pdf,500.00 RUB,18 - 65+,,,,,Friends of people who are connected to LGBT United,,,,,United States,,"People who like LGBT United,",News Feed on desktop computers or News Feed on mobile devices,"SOLDIER SHANE. Recently Pentagon confirmed plan to lift ban on transgender military service. Let's meet the big player in repealing the ban. Sergeant Shane Ortega, 28, doesn't stand out or appear out of the ordinary among his fellow Army soldiers. But there's one thing that differs him from the bulk of troops. Shane is the first openly trans soldier of the US Army. He's astonishingly handsome, he works out constantly (check out his muscular build), he covered in tattoos, he's part black, Latino and Cherokee, he's obsessed with his girlfriend (a former model and aspiring doctor); and he gets giddy talking about both video games and chopping wood in Alaska. Yet despite his solid performance and commitment to serve, SGT Ortega has been at risk of getting kicked out of the Army because in official Army paperwork, he is identified as a woman. But the real warriors never surrender! Ortega struggled for the equal rights for the transgender people in the military. And he succeeded! America's military progressing slowly towards inclusion and equal opportunity. Let's hope that these changes'll ensure peace, instead of waging more war. #Igbt #transgender #equality #usarmy #Ortega",
3291,311,2017-02-01 23:33:27,2017-02-02 23:33:27,2457,https://www.facebook.com/native-americans-united-386046198404902/,2017-q1/2017-02/P(1)0005907.pdf,200.00 RUB,18 - 65+,,,,,,,"American Indian Movement, Native American Indian Wisdom, Cherokee language or Cherokee Nation",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,Power of the music.,470000.0
254,176,2016-05-10 02:24:12,2016-05-11 02:24:11,1864,https://www.facebook.com/black-matters-1579673598947501/,2016-q2/2016-05/P(1)0000048.pdf,218.76 RUB,18 - 54,,,Exclude people who like Black Matters,,,,BlackNews.com or HuffPost Black Voices Behaviors: African American (US),English (UK)or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,"High-profiled black deaths at the hands of police, have forced African- Americans to change their personality and the way they live their lives. Amid a spiral of black deaths at the hands of officers, many young African-Americans worried about the possibility of becoming victims of police brutality, have Police Brutality Videos Change How Black Men Live I Black Matters Black Matters",31000000.0
1386,413,2016-01-14 05:08:35,,5007,https://www.facebook.com/stop-al-896610653786585/,2016-q1/2016-01/P(1)0003357.pdf,5364.73 RUB,18 - 65+,,,Exclude people who like Stop A.1.,,,,,English (UK)or English (US),"United Kingdom, United States",,,,News Feed on desktop computers or News Feed on mobile devices,This page is dedicated to protection against illegal immigrants!,252000000.0
1281,0,2016-04-08 03:30:40,,1,https://www.facebook.com/stop-al-896610653786585/,2016-q2/2016-04/P(1)0003163.pdf,,25 - 65+,,,Exclude people who like Stop A.1.,,,Male,,English (UK)or English (US),"United Kingdom, United States",,,,News Feed on mobile devices,They take your job and money! Stop illegal immigration!,92000000.0
2484,568,2016-11-01 08:02:13,2016-11-02 08:02:11,5768,https://blackmattersus.com/18834-teen-assaulted-by-white-man-during-cross-country-race/,2016-q4/2016-11/P(1)0004927.pdf,274.48 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history, Malcolm X or Black (Color)",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"15-year-old Black teen and 9th grader, Chase T. Coleman mysteriously went missing whiles running a 5k race in New York. Teen Assaulted By White Man During Cross Country Race I BM BM",25000000.0
1548,409,2016-06-20 08:21:12,2016-06-21 08:21:11,3856,https://www.facebook.com/dont-shoot-1157233400960126/,2016-q2/2016-06/P(1)0003580.pdf,1000.00 RUB,18 - 65+,,,,,Friends of people who are connected to Don't Shoot,,,,United States: Baltimore (+25 mi) Maryland,,,"People who like Don't Shoot,",News Feed on desktop computers or News Feed on mobile devices,"It feels like cops arrest people only to bully and abuse them. Well, police has never about safety...here's the proof. Read the full article ? http://bit.ly/lTK7MGG ? Don't Shoot",
2837,153,2017-05-17 01:13:09,2017-05-18 01:13:09,1055,https://www.facebook.com/panafrootsmove/,2017-05/P(1)0001065.pdf,20.00 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,,English (UK) or English (US),,United States,,"Interests Martin Luther King, Jr., Black history. African- American culture. African-American Civil Rights Movement (1954-68), African- American history; Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,What teamwork looks like!,31000000.0
2721,2029,2017-02-16 00:41:10,2017-02-17 00:41:10,13281,https://www.facebook.com/brownunitedfront/,2017-q1/2017-02/P(1)0000971.pdf,200.00 RUB,18 - 65+,,,,,,,"Hispanic and latino american culture, Mexico, Mexican american culture, Hispanic culture, Latino culture, Latin hip hop, Chicano. Chicano Movement, Hispanidad, Mexican Pride, Lowrider, Chicano rap or La Raza",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"Mictlantecuhtli, the Aztec god of death",49000000.0
3049,2225,2017-03-13 03:01:56,2017-03-16 03:01:56,11925,https://www.facebook.com/williamsandkalvin/,2017-q1/2017-03/P(1)0001658.pdf,100.00 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., Stop Racism!!, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Say To No Racism or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,Repost,17000000.0
3164,211,2016-11-11 03:55:47,2016-11-12 03:55:47,1849,https://www.facebook.com/woke-blacks-294234600956431/,2016-q4/2016-11/P(1)0005762.pdf,70.00 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"There's a lot of mythology surrounding redheaded people, but one ignorant assumption trumps them all: Redheads are white. The reality? They're not. Photographer @IamMichelleMarshall is raising awareness of this fact through her photo series ""M1 CR"" the series, named after the gene variant responsible for red hair and freckles, features individuals of Afro-Caribbean descent who carry this gene and, therefore, embody certain aesthetic traits associated with redheads."" #melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize ##joshuabeal #altonsterling #TerenceCrutcher #westandtogether #blacklivesmatter #unite4justice #november8 #elections2016 #black #melanin #blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud #democrat #republican #Africanamerican #unite4justice #vote #breakingnews",2900000.0
2843,1919,2017-05-16 07:56:50,2017-05-20 15:00:00,21444,https://www.facebook.com/panafrootsmove/,2017-05/P(1)0005398.pdf,900.00 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",English (UK)or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,"In a recent interview, Barack Obama said that not bombing Syria ""required the most political courage"". He said that sending troops to Syria was a very difficult decision, but not bombing Syria was even harder to make. Obama was hated for not taking actions, but it's better for being hated for not killing innocent people that for starting a useless war. Though it was tough, Obama did a great job keeping away from the war that would take millions from the US budget and get innocent people killed. Unfortunately, the recent government didn't think twice, before they started bombing Syria. They will cut the support of Black families in the US to kill innocent kids in Syria. How did we come to this?!",24000000.0
2521,0,2016-10-18 05:30:39,2016-10-12 07:02:23,0,https://blackmattersus.com/17618-letsbuyblack-black-americans-encouraged-to-patronize-black-owned-businesses/,2016-q4/2016-10/P(1)0004985.pdf,,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history, Malcolm X, Anti-discrimination or Black (Color)",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"African-American entrepreneurs, DeShawn Bullard and Rene Green share their experience and challenges in the Black hair industry. #Let'sBuyBlack: Black-Americans Encouraged To Patronize Black-Owned Businesses I BM BM",27000000.0
2226,191,2016-09-06 03:31:32,2016-09-11 04:38:38,4415,https://www.facebook.com/events/1739622986304618/,2016-q3/2016-09/P(1)0004488.pdf,4965.90 RUB,16 - 65+,,,,,,,Detroit,,,United States: Detroit (+35 mi) Michigan,,,News Feed on desktop computers or News Feed on mobile devices,"On April 28th, Terrance Kellom was fatally shot by police in front of his father at their Remember Terrance Kellom",
297,322,2016-08-10 08:30:22,2016-08-11 08:30:20,3569,https://www.facebook.com/black-matters-1579673598947501/,2016-q3/2016-08/P(1)0002069.pdf,380.78 RUB,18 - 65+,"Lookalike(US, 1%)- newtestaudit",,,,,,,,,,,,News Feed on desktop computers or News Feed on mobile devices,"Every piece of opinion you give counts in our survey. Take part in our ""Black business survey"" today!""A man's success in business today turns upon his power of getting people to believe he has something they want."" Gerland Stanley Powered byTypeform Thank yo Do You Support Black Business? Black Matters Black Matters",
1809,149,2016-03-11 05:53:42,,31506,https://www.instagram.com/cop_block—us/,2016-q1/2016-03/P(1)0000551.pdf,6915.75 RUB,13 - 35,,,,,,,,English (UK)or English (US),United States: San Francisco(+40 km) California,,,,Instagram Feed,10 years later. No changes! Hundreds of Americans have held demonstrations in San Francisco to protest police fatal shooting of #MarioWoods last month. Click to Learn More Cop Block Us AmericanCops,
2875,4,2016-11-10 07:18:40,2016-11-11 07:18:40,95,https://www.facebook.com/panafrootsmove/,2016-q4/2016-11/P(1)0005432.pdf,59.18 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",English (UK)or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,"Since when the celebration of the Black beauty is a racism?! What about all the white thing then? Looks like word ""racism"" doesn't exist if you're white!",24000000.0
1186,0,2017-02-09 03:48:08,2017-02-10 03:48:08,0,https://www.facebook.com/blacktivist-128371547505950/,2017-q1/2017-02/P(1)0000394.pdf,0,16 - 65+,,,,,,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement ( 1954-68), African-American history, Black Consciousness Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)",English (UK) or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,When ballet dancers can mix modern dance and ballet. When ballet dancers can mix modern dance and ballet.,31000000.0
2774,40134,2016-10-14 05:54:10,,511224,https://www.facebook.com/south-united-1777037362551238/,2016-q4/2016-10/P(1)0005308.pdf,78357.33 RUB,18 - 65+,,,Exclude people who like South United,,,,"Confederate Flag, Confederate States Army, American Civil War or Southern Pride",English (UK)or English (US),United States,,,,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","Heritage, not hate. The South will rise again! South United",3600000.0
1785,6276,2016-08-02 09:29:28,2016-08-05 07:29:25,34943,https://petitions.whitehouse.gov/petition/disavow-support-clinton-poiitica1-dynasty-disqualify-and-remove-hillary-clinton-2016-presidential-ballot,2016-q3/2016-08/P(1)0003902.pdf,14606.52 RUB,18 - 65+,,,,,,,"Donald Trump, Donald Trump for President or Donald Trump Jr.",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,We call for disqualification and removal of Hillary Clinton from the presidential ballot as dynastic succession of the Clinton family in American politics breaches the core democratic principles laid out by our Founding Fathers. Sign the petition! We call for disqualification and removal of Hillary Clinton from the presidential ballot as dynastic succession of the Clinton family in American politics breaches the core democratic principles laid out by our Founding Fathers. We demand members of one family legislatively banned from holding the s... Disavow support for the Clinton political dynasty. Disqualify and remove Hillary Clinton from 2016 Presidential Ballot I We the People: Your Voice in Our Government Donald Trump America,51000000.0
826,0,2016-03-24 06:22:02,2016-03-25 06:22:01,0,https://www.facebook.com/wiiliamskalvin-788980617892144/,2016-q1/2016-03/P(1)0001495.pdf,,18 - 51,,"Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant), Hispanic(US - English dominant), Hispanic(US - Bilingual: English and Spanish) or Asian American (US)",Exclude people who like Williams&Kalvin,,,,"National Museum of American History, Maya Angelou, Mumia Abu-Jamal, The Raw Story or mother jones, Behaviors: African American (US)",English (UK)or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,"It is so disheartening knowing that people are put behind bars because they failed to settle a fine. Most people are jailed because one way or the other there was no money to do what was necessary at a particular time even though they were innocent. Prosecutors have developed this platform as a gold mine, extracting huge sum of money from civilians. You can be put behind bars if you fail to comply with the demands. Suddenly one's life becomes tattered when jail comes in, because there is no freedom of making a better living. Federal prosecutors should shake up and hold judges and all these people who take advantages of people by making them pay huge sums of money or put someone behind bars because he/she couldn't pay a fine. Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin",25000000.0
3437,0,2016-05-12 03:28:43,,0,https://musicfb.info/,2016-q2/2016-05/P(1)0006043.pdf,,15 - 30,,,,,,,"Grooveshark, Last.fm, SoundCloud, Vevo, Shazam (service) or Google Play Music",English (UK)or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,First online player for ur browser! Listen everything for free! musicfb.info FaceMusic Stop A.I.,
2256,242,2016-09-30 04:41:12,2016-10-03 04:41:11,1476,https://blackmattersus.com/16881-el-cajon-shooting-black-man-shot-by-police-had-no-weapon-police-chief-admits/,2016-q3/2016-09/P(1)0004546.pdf,300.00 RUB,16 - 65+,,,,,,,"Black Power, Black Panther Party or Cop Block",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"The Police Chief of El Cajon, Jeff Davis has revealed that the Black man.. Alfred Olango who was shot by his men on Wednesday, didn't possess a weapon as reported earlier. The Police Chief of El Cajon, Jeff Davis has revealed that the Black man, Alfred Olango who was shot by his men on Wednesday; didn't possess a weapon as reporte El Cajon Shooting: Black Man Shot By Police Had No Weapon: Police Chief Admits I BM BM",3000000.0
2096,0,2017-04-28 07:04:26,2017-04-30 15:20:00,0,https://www.facebook.com/blackmattersus/.mvmnt/,2017-04/P(1)0004298.pdf,,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"Just have a look at this fabulous woman! Enam Heikeens, 25, with vitiligo who was bullied at school by classmates who thought she was'contagious' has defied her critics to become a successful fashion model.'At first I was scared, but now I feel so proud,"" - Enam says. Beauty is her name!",2900000.0
1445,0,2016-04-13 07:33:15,,53,https://www.facebook.com/events/1748220542079708/,2016-q2/2016-04/P(1)0003464.pdf,27.27 RUB,19 - 30,,,,,,,"Antelope Valley College, School: University of California, Riverside, California State University, East Bay Continuing Education or University of Wisconsin-Madison",English (UK)or English (US),"United States: Lancaster(+25 mi), San Francisco(+25 mi) California; Madison (+25 mi) Wisconsin",,,,News Feed on desktop computers or News Feed on mobile devices,Every voice counts! Join us and stop police brutality! April 21 Student Day of Action to #StopPoliceTerror,
2,38,2015-10-20 10:36:20,2015-10-26 08:00:00,17256,https://www.instagram.com/south_lone_star/,2015-q4/2015-10/P(1)0001738.pdf,1000.00 RUB,18 - 65+,,,,,,,,,,United States: Texas,,,Instagram Feed,You can go to hell or follow @south_lone_star instead! Texas is where you always want to be! We are Texans and we're not like the rest! Follow us! Lone Star State Rebels (@south_lone_star)• Instagram photos and videos,115000000.0
2879,912,2016-12-27 05:29:43,2016-12-28 05:29:43,6572,https://www.facebook.com/panafrootsmove/,2016-q4/2016-12/P(1)0005434.pdf,292.30 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",English (UK)or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,,24000000.0
2859,38,2016-12-08 06:21:22,2016-12-09 06:21:22,1690,https://www.facebook.com/panafrootsmove/,2016-q4/2016-12/P(1)0001334.pdf,400.00 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Malcolm X or Black (Color)",English (UK) or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,Kids learn by parents' example. Give them the good one! Repost from,31000000.0
464,743,2016-05-19 05:12:18,2016-05-20 05:12:16,3268,https://www.facebook.com/being-patriotic-1601685693432389/,2016-q2/2016-05/P(1)0002311.pdf,500.00 RUB,18 - 65+,,,Exclude people who like Being Patriotic,,,,Independence or Patriotism,English (UK)or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,"Marine veteran was forced by homeowner associations to remove USMC stickers from his car. Our country is run by idiots! Retired marine Frank Larison recently received a letter by the HOA, ordering him to remove his ""marine stickers"" from his Chevy car. Frank and his lawyer claim that he will face $50 a day if he refuses to do so. If he does not play those fines, he will be towed. Have you ever heard of someone receiving a notification to remove Obama stickers? LGBT stickers? Those terrorists Black Lives Matter stickers? Well, me neither! The liberal rage comes only to those who love the Old Glory or U.S. Armed Forces. Our whole society is ill. Libtards are allowed to do whatever they want while even the smallest demonstration of love and devotion to America causes an immediate intervention from the authorities.",6400000.0
1866,2,2016-04-18 04:20:52,2016-04-21 04:20:51,25,https://www.facebook.com/memopolis-450474615151098/,2016-q2/2016-04/P(1)0004034.pdf,12.83 RUB,18 - 65+,,,,,,,"CollegeHumor, BuzzFeed or 9GAG",,United States,,,,News Feed on desktop computers or News Feed on mobile devices,Who is talking I done see anyone,59000000.0
1355,2,2016-04-13 07:47:22,,20,https://www.facebook.com/stopallinvaders,2016-q2/2016-04/P(1)0003295.pdf,25.23 RUB,35 - 65+,,,Exclude people who like Stop A.1.,,,,Immigration or Politics,English (UK)or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,The nation without borders is not a nation at all. Like to join!,27000000.0
3283,94,2016-12-29 01:33:44,,2271,https://www.facebook.com/hell—and—back-1806743482876111/,2016-q4/2016-12/P(1)0005893.pdf,3000.00 RUB,18 - 65+,,,Exclude people who like Hell—and—Back,,,,"Prison Fellowship, Innocence Project, Prison reform or The Inmates",English (UK)or English (US),United States,,,,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",This group is basically to bring together all who have faced the wrath of prison life. Hell And Back,630000.0
2862,258,2017-02-01 04:45:42,2017-02-02 04:45:42,1604,https://www.facebook.com/pan-african-roots-move-265201130527872/,2017-q1/2017-02/P(1)0001087.pdf,300.00 RUB,18 - 65+,,,Exclude people who like Pan-African roots MOVE,,,,"Martin Luther King, Jr., Black history, African- American culture, African-American Civil Rights Movement(1954-68), African- American history, Malcolm X or Black (Color)",English (UK)or English (US),,United States,,,News Feed on desktop computers or News Feed on mobile devices,"It's a very strong photo. Powerful and sad at the same time. This Queen managed to stay alive and beautiful despite what happened to her. She's really an example to everyone. GUYS, LETS MAKE HER VIRAL!",31000000.0
547,0,2015-08-05 07:10:37,2015-08-06 07:23:28,3,https://www.facebook.com/patriototus/,2015-q3/2015-08/P(1)0002418.pdf,2.73 RUB,18 - 65+,,,,,Friends of people who are connected to Being Patriotic,,,,United States,,,"People who like Being Patriotic,",News Feed on desktop computers or News Feed on mobile devices,"Ex-Ferguson Cop Darren Wilson: Incident'Makes Me Unemployable' Do you know the best way to ruin your career in the US? Follow the rules and the ""miracle"" won't be late in arriving. I bet you remember the white former officer who shot and killed an unarmed black teen in Ferguson, last August? After national debate over the relationship between police and black communities Darren Wilson aka ""Bad cop, who killed innocent black child"" tried to go back to police work but was turned down because he's too big a liability. In the recent interview to New Yorker magazine he said, ""It's too hot an issue, so it makes me unemployable."" So what does the situation mean to America? Almost nothing except one thing... a man's life may be ruined because he had the audacity to defend himself against huge man with malicious intent. Michael Brown was a thug, who had just assaulted a store owner, and robbed him. Do you have any idea what should police officer do in such situation? He must stop the criminal, period. He was in a no-win situation and it proves how upside-down society has become. I wonder, what will be the next step of American justice degradation? Will surgeons be fired for operate patients with knives? Will Supreme Court send teachers to jail for teaching? Instead hate Wilson, we should pray for him. He did nothing wrong but idiots turned society against an innocent man. So is it a new America?",
