AD_ID,AD_CLICKS,AD_CREATION_DATE,AD_END_DATE,AD_IMPRESSIONS,AD_LANDING_PAGE,AD_PATH,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_CUSTOM_AUDIENCE,AD_TARGETING_EXCLUDE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_EXCLUDE_LOCATION,AD_TARGETING_FRIENDS_OF_CONNECTIONS,AD_TARGETING_GENDER,AD_TARGETING_INTERESTS,AD_TARGETING_LANGUAGE,AD_TARGETING_LOCATION,AD_TARGETING_LOCATION_LIVING_IN,AD_TARGETING_LOCATION_RECENTLY_IN,AD_TARGETING_PEOPLE_WHO_MATCH,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
1795,57,2016-04-13 00:29:08,2016-04-14 00:29:07,460,https://www.facebook.com/memopolis-450474615151098/,2016-q2/2016-04/P(1)0003916.pdf,100.00 RUB,18 - 65+,,,,,,,"CollegeHumor, BuzzFeed or 9GAG",,United States,,,,News Feed on desktop computers or News Feed on mobile devices,When you have a dream that you sucked at being a quarterback and wake up and realize that you still suck at being a quarterback,59000000.0
1950,149,2016-08-05 02:46:52,,5403,https://www.facebook.com/balt-194465337564400/,2016-q3/2016-08/P(1)0000643.pdf,552.14 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr.. Black Power, Black Arts Movement. Fight the Power, Black history, Black Panther Party, My Black is Beautiful. African-American Civil Rights Movement (1954-68), Black is beautiful, Malcolm X (EI-Hajj Malik EI-Shabazz), Afrocentric education or Malcolm X",English (US),United States,,,,Instagram Feed,We are black. We are not weird. We are limited edition.,8700000.0
2801,17,2016-11-15 05:17:16,2016-11-16 05:17:16,98,https://www.facebook.com/nefertitis-community-576081822594619/,2016-q4/2016-11/P(1)0005350.pdf,39.53 RUB,18 - 60,,,Exclude people who like Nefertiti's Community,,,,"Pan-Africanism, Black Enterprise or Black (Color)",English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,"Kaepernick declared that both of the major presidential candidates, Donald Trump and Hillary Clinton, were racist and thus not worthy of his support! #woke #king #vote #election #black #power #resistance",21000000.0
1504,0,2016-06-28 06:49:11,2016-05-13 08:09:30,0,https://www.facebook.com/dont-shoot-1157233400960126/,2016-q2/2016-06/P(1)0003537.pdf,,18 - 65+,,,,,,,Cop Block,,United States,,,,News Feed on desktop computers or News Feed on mobile devices,Watch below an attack on another victim of police brutality. R.I.P Sarah Reed.,1000000.0
1045,2847,2016-11-01 06:22:57,2016-11-02 06:22:56,20322,https://www.facebook.com/blacktivist-128371547505950/,2016-q4/2016-11/P(1)0000294.pdf,400.00 RUB,16 - 65+,,,,,,,"Black nationalism, Pan-Africanism, Police misconduct, African- American culture, African-American Civil Rights Movement (1954-68), African- American history, Black Consciousness Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)",English (UK) or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,Absolutely stunning child.,31000000.0
2806,17,2016-11-03 07:50:22,2016-11-04 07:50:22,533,https://www.facebook.com/black4black-1268698556482143/,2016-q4/2016-11/P(1)0001039.pdf,99.94 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., Black Business Works, African-American culture, African-American Civil Rights Movement (1954-68), Black History Month, Black Owned Business Network, African-American history, Black Consciousness Movement or Malcolm X",,,United States,,,"News Feed on desktop computers, lnstagram Feed or News Feed on mobile devices","Miss Black America, Nicole Hibbert celebrates the National Day of Nonviolence! The message is clear!",17000000.0
2053,1455,2017-04-17 08:29:34,2017-04-18 16:24:00,8994,https://www.facebook.com/blackmattersus/.mvmnt/,2017-04/P(1)0004245.pdf,200.00 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr.; African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,Meet the beautiful biracial twins blowing everyone away.,2900000.0
381,0,2015-07-02 03:10:36,,0,https://www.facebook.com/black-matters-1579673598947501/,2015-q3/2015-07/P(1)0002188.pdf,,18 - 65+,,,Exclude people who like Black Matters,,,,,English (UK)or English (US),United States: Atlanta (+20 km) Georgia; Baltimore (+20 km) Maryland; St. Louis(+50 km) Missouri; Richmond (+20 km) Virginia,,,,News Feed on desktop computers or News Feed on mobile devices,Your life matter.My life matter. Black matters.,
228,56,2016-04-25 05:25:40,2016-04-27 05:25:40,458,https://www.facebook.com/black-matters-1579673598947501/,2016-q2/2016-04/P(1)0002011.pdf,45.23 RUB,18 - 65+,,,,,Friends of people who are connected to Black Matters,,,,,United States,,"People who like Black Matters,",News Feed on desktop computers or News Feed on mobile devices,"Jaden Malone's mom has removed him from the N.C. charter school over his suspension for pushing bully off him. A furious Charlotte, N.C., mother has pulled her son out from the Invest Collegiate Charter School over his suspension for defending himself against a bully, WJ 12-Year-Old Boy Suspended From School For Standing Up To Bully I Black Matters Black Matters",
3309,0,2017-02-13 07:31:36,2017-02-14 07:31:36,0,https://www.facebook.com/hell_and_back-1806743482876111/,2017-q1/2017-02/P(1)0005935.pdf,,18 - 65+,,,,,,,"Corrections Corporation of America, American Correctional Association or The Inmates",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"This is my lived experience, Muhammad said. ""I'm formerly incarcerated, I spent a lot of my childhood in different systems and I had no idea about the beast that communities of color are fighting. My mother didn't know about the school-to-prison pipeline, she just knew she had a black boy."" Coleman explained how his work with wrongfully-convicted clients had shaped his view of the U.S. criminal justice system, which he described as racially lopsided. ""It's not by choice that most of my clients are African American,"" Coleman said. ""It's a fact of life and of the prison system. If most of the people going into the system are black men, most of my clients will be too."" The Duke Journal of Gender Law and Policy hosted a symposium Tuesday focusing on efforts to improve criminal justice and the American prison system. Titled ""Intersectionality and the Black Lives Matter Movement,"" the event featured a panel of speakers, including James Coleman, John S. Bradway professor of the practice of law, and Umar Muhammad, community organizer for the Southern Coalition for Justice, along with Theresa Newman, clinical professor of law. ""I didn't feel prepared for the world. I didn't feel rehabilitated. I had no resources,"" Muhammad said. -The Chronicle-",51000.0
